frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.040,Torchere A,Medium-Flare,0.4831,inactive,486,196,514,215,0.0,0.173,0.015,0.872,hsv
2,0.080,Torchere A,Medium-Flare,0.4260,inactive,303,202,324,222,0.0,0.162,0.033,0.887,hsv
3,0.120,Torchere A,Medium-Flare,0.5791,inactive,300,204,320,222,0.0,0.272,0.017,0.905,hsv
4,0.160,Torchere B,Medium-Flare,0.4753,inactive,299,204,317,224,0.0,0.272,0.014,0.9,hsv
4,0.160,Torchere A,Medium-Flare,0.4887,inactive,480,201,510,221,0.0,0.162,0.017,0.865,hsv
5,0.200,Torchere B,Medium-Flare,0.6763,inactive,295,202,319,225,0.0,0.179,0.022,0.878,hsv
5,0.200,Torchere A,Medium-Flare,0.5129,bonne,481,201,509,222,0.0,0.16,0.027,0.861,hsv
6,0.240,Torchere B,Medium-Flare,0.5982,inactive,297,201,319,223,0.0,0.178,0.037,0.884,hsv
6,0.240,Torchere A,Medium-Flare,0.4371,bonne,480,198,508,216,0.0,0.133,0.006,0.878,hsv
7,0.280,Torchere A,Light-Flare,0.6597,bonne,479,192,507,215,0.0,0.132,0.014,0.861,hsv
8,0.320,Torchere A,Light-Flare,0.5932,bonne,480,193,507,215,0.0,0.13,0.013,0.865,hsv
9,0.360,Torchere B,Medium-Flare,0.6727,inactive,297,200,318,223,0.0,0.147,0.056,0.871,hsv
9,0.360,Torchere A,Light-Flare,0.6819,bonne,479,194,507,216,0.0,0.149,0.049,0.863,hsv
10,0.400,Torchere A,Light-Flare,0.6201,bonne,480,193,507,214,0.0,0.164,0.039,0.86,hsv
11,0.440,Torchere A,Light-Flare,0.6597,bonne,480,189,509,211,0.0,0.174,0.091,0.851,hsv
12,0.480,Torchere A,Light-Flare,0.6011,bonne,481,185,507,206,0.0,0.227,0.086,0.855,hsv
13,0.520,Torchere B,Medium-Flare,0.4298,bonne,295,196,317,213,0.0,0.131,0.193,0.848,hsv
13,0.520,Torchere A,Light-Flare,0.6074,bonne,481,184,507,205,0.0,0.238,0.231,0.853,hsv
14,0.560,Torchere A,Light-Flare,0.4102,bonne,482,184,506,205,0.0,0.248,0.177,0.855,hsv
15,0.600,Torchere B,Medium-Flare,0.5254,bonne,296,192,318,214,0.0,0.114,0.219,0.833,hsv
15,0.600,Torchere A,Light-Flare,0.4881,bonne,481,182,507,204,0.0,0.231,0.238,0.847,hsv
16,0.640,Torchere B,Medium-Flare,0.4514,bonne,296,190,318,211,0.0,0.115,0.247,0.841,hsv
16,0.640,Torchere A,Medium-Flare,0.4619,bonne,483,181,507,204,0.0,0.246,0.317,0.843,hsv
17,0.680,Torchere B,Medium-Flare,0.5633,bonne,296,190,317,209,0.0,0.185,0.208,0.854,hsv
17,0.680,Torchere A,Medium-Flare,0.4603,bonne,482,181,507,203,0.0,0.225,0.395,0.836,hsv
18,0.720,Torchere B,Medium-Flare,0.6621,bonne,296,189,318,211,0.0,0.145,0.285,0.837,hsv
19,0.760,Torchere B,Medium-Flare,0.6360,bonne,297,190,319,211,0.0,0.167,0.24,0.846,hsv
19,0.760,Torchere A,Light-Flare,0.4000,bonne,481,181,507,205,0.0,0.199,0.438,0.831,hsv
20,0.800,Torchere B,Medium-Flare,0.6989,bonne,297,190,319,213,0.0,0.148,0.279,0.833,hsv
20,0.800,Torchere A,Light-Flare,0.4787,bonne,480,182,507,207,0.0,0.166,0.49,0.821,hsv
21,0.840,Torchere B,Medium-Flare,0.7068,bonne,297,190,318,213,0.0,0.159,0.277,0.838,hsv
21,0.840,Torchere A,Light-Flare,0.5515,bonne,479,183,507,208,0.0,0.166,0.499,0.818,hsv
22,0.880,Torchere B,Medium-Flare,0.6596,bonne,297,191,318,214,0.0,0.153,0.265,0.841,hsv
22,0.880,Torchere A,Light-Flare,0.6300,bonne,479,184,509,208,0.0,0.139,0.5,0.817,hsv
23,0.920,Torchere B,Medium-Flare,0.4946,bonne,298,192,319,215,0.0,0.135,0.317,0.833,hsv
23,0.920,Torchere A,Light-Flare,0.6454,bonne,479,184,509,211,0.0,0.13,0.598,0.804,hsv
24,0.960,Torchere B,Medium-Flare,0.4475,bonne,298,193,319,216,0.0,0.126,0.288,0.838,hsv
24,0.960,Torchere A,Medium-Flare,0.4645,bonne,480,187,509,212,0.0,0.131,0.538,0.812,hsv
24,0.960,Torchere A,Light-Flare,0.4520,bonne,479,185,509,213,0.0,0.113,0.594,0.803,hsv
25,1.000,Torchere A,Light-Flare,0.5441,bonne,479,191,507,214,0.0,0.168,0.514,0.812,hsv
26,1.040,Torchere A,Light-Flare,0.5703,bonne,479,193,506,215,0.0,0.182,0.465,0.82,hsv
27,1.080,Torchere A,Light-Flare,0.7004,bonne,480,194,506,215,0.0,0.203,0.452,0.827,hsv
28,1.120,Torchere B,Medium-Flare,0.5092,bonne,294,199,316,220,0.0,0.149,0.242,0.848,hsv
28,1.120,Torchere A,Light-Flare,0.6872,bonne,478,194,503,214,0.0,0.202,0.41,0.837,hsv
29,1.160,Torchere B,Medium-Flare,0.4647,bonne,290,198,314,219,0.0,0.135,0.373,0.837,hsv
