frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Flare,0.8871,inactive,161,144,228,222,0.36,0.115,0.408,0.469,hsv
1,0.033,Torchere B,Light-Flare,0.7785,inactive,340,285,418,352,0.532,0.108,0.376,0.456,hsv
1,0.033,Torchere C,Dark-Flare,0.6739,inactive,543,272,624,340,0.509,0.13,0.209,0.447,hsv
2,0.067,Torchere A,Light-Flare,0.8881,inactive,161,154,227,222,0.271,0.13,0.341,0.526,hsv
2,0.067,Torchere B,Light-Flare,0.7604,inactive,339,286,418,352,0.515,0.116,0.375,0.466,hsv
2,0.067,Torchere C,Medium-Flare,0.4480,inactive,543,269,623,340,0.526,0.106,0.2,0.434,hsv
3,0.100,Torchere A,Light-Flare,0.8931,inactive,158,155,228,223,0.279,0.131,0.342,0.521,hsv
3,0.100,Torchere B,Light-Flare,0.8323,inactive,336,283,418,353,0.547,0.115,0.409,0.448,hsv
3,0.100,Torchere C,Light-Flare,0.7304,inactive,538,268,623,341,0.573,0.081,0.193,0.409,hsv
3,0.100,Torchere C,Medium-Flare,0.5238,inactive,538,268,623,341,0.573,0.081,0.193,0.409,hsv
4,0.133,Torchere A,Light-Flare,0.8985,inactive,154,151,228,223,0.341,0.144,0.393,0.495,hsv
4,0.133,Torchere B,Light-Flare,0.8732,inactive,333,282,418,352,0.548,0.133,0.392,0.445,hsv
4,0.133,Torchere C,Light-Flare,0.7420,inactive,537,272,624,341,0.558,0.076,0.207,0.416,hsv
4,0.133,Torchere C,Medium-Flare,0.4100,inactive,538,272,623,341,0.55,0.078,0.204,0.421,hsv
5,0.167,Torchere A,Light-Flare,0.8995,bonne,150,147,228,223,0.393,0.143,0.419,0.468,hsv
5,0.167,Torchere B,Light-Flare,0.8692,moyenne,333,280,417,352,0.539,0.137,0.399,0.442,hsv
5,0.167,Torchere C,Light-Flare,0.8258,moyenne,551,279,624,340,0.48,0.096,0.227,0.493,hsv
6,0.200,Torchere A,Light-Flare,0.8895,bonne,148,148,228,223,0.371,0.151,0.391,0.461,hsv
6,0.200,Torchere B,Light-Flare,0.8159,moyenne,333,280,416,353,0.542,0.137,0.366,0.438,hsv
6,0.200,Torchere C,Light-Flare,0.8129,moyenne,546,278,623,340,0.492,0.079,0.171,0.477,hsv
7,0.234,Torchere A,Light-Flare,0.8902,bonne,146,149,228,223,0.377,0.137,0.385,0.45,hsv
7,0.234,Torchere B,Light-Flare,0.8028,moyenne,330,278,416,352,0.565,0.121,0.398,0.422,hsv
7,0.234,Torchere C,Light-Flare,0.7980,moyenne,552,278,623,339,0.451,0.105,0.178,0.511,hsv
8,0.267,Torchere A,Light-Flare,0.8834,moyenne,142,147,228,223,0.405,0.131,0.41,0.429,hsv
8,0.267,Torchere B,Light-Flare,0.7043,mauvaise,331,279,416,352,0.563,0.134,0.377,0.421,hsv
8,0.267,Torchere B,Medium-Flare,0.4001,mauvaise,333,280,416,352,0.552,0.137,0.376,0.429,hsv
8,0.267,Torchere C,Light-Flare,0.8402,moyenne,557,277,623,341,0.425,0.143,0.18,0.532,hsv
9,0.300,Torchere A,Light-Flare,0.8858,moyenne,142,145,229,223,0.476,0.117,0.455,0.414,hsv
9,0.300,Torchere B,Medium-Flare,0.7790,mauvaise,332,278,417,351,0.6,0.118,0.413,0.415,hsv
9,0.300,Torchere C,Light-Flare,0.7205,moyenne,555,276,624,341,0.452,0.154,0.197,0.522,hsv
10,0.334,Torchere A,Light-Flare,0.8858,bonne,151,153,229,222,0.369,0.144,0.4,0.473,hsv
10,0.334,Torchere B,Medium-Flare,0.7380,mauvaise,340,284,417,352,0.533,0.15,0.404,0.458,hsv
10,0.334,Torchere C,Light-Flare,0.8447,moyenne,553,273,623,340,0.459,0.169,0.183,0.514,hsv
11,0.367,Torchere A,Light-Flare,0.8862,bonne,150,153,228,222,0.354,0.128,0.393,0.471,hsv
11,0.367,Torchere B,Medium-Flare,0.6564,mauvaise,338,283,417,352,0.516,0.163,0.334,0.453,hsv
11,0.367,Torchere C,Light-Flare,0.8624,moyenne,551,272,623,341,0.472,0.166,0.158,0.501,hsv
12,0.400,Torchere A,Light-Flare,0.8926,bonne,149,156,228,222,0.377,0.118,0.391,0.48,hsv
12,0.400,Torchere B,Medium-Flare,0.5852,mauvaise,335,278,416,352,0.56,0.157,0.396,0.426,hsv
12,0.400,Torchere C,Light-Flare,0.8312,moyenne,548,271,623,341,0.498,0.164,0.184,0.49,hsv
13,0.434,Torchere A,Light-Flare,0.8782,bonne,144,155,226,222,0.396,0.12,0.395,0.469,hsv
13,0.434,Torchere B,Light-Flare,0.6091,mauvaise,336,283,415,353,0.51,0.184,0.305,0.439,hsv
13,0.434,Torchere B,Medium-Flare,0.5811,mauvaise,336,282,415,352,0.51,0.184,0.305,0.44,hsv
13,0.434,Torchere C,Light-Flare,0.8780,moyenne,546,271,623,341,0.487,0.162,0.181,0.486,hsv
14,0.467,Torchere A,Light-Flare,0.8756,moyenne,142,153,227,223,0.422,0.125,0.415,0.454,hsv
14,0.467,Torchere B,Medium-Flare,0.7503,mauvaise,336,281,416,353,0.551,0.166,0.331,0.418,hsv
14,0.467,Torchere C,Light-Flare,0.8586,moyenne,546,271,622,342,0.484,0.154,0.238,0.488,hsv
15,0.501,Torchere A,Light-Flare,0.8650,moyenne,140,150,227,223,0.433,0.137,0.421,0.441,hsv
15,0.501,Torchere B,Light-Flare,0.7828,moyenne,335,281,416,355,0.566,0.139,0.32,0.398,hsv
15,0.501,Torchere C,Light-Flare,0.8613,moyenne,545,271,622,341,0.468,0.147,0.192,0.492,hsv
16,0.534,Torchere A,Light-Flare,0.8719,moyenne,143,148,227,222,0.424,0.125,0.425,0.449,hsv
16,0.534,Torchere B,Light-Flare,0.7809,moyenne,335,283,415,354,0.575,0.121,0.373,0.399,hsv
16,0.534,Torchere C,Light-Flare,0.8563,moyenne,544,271,622,341,0.493,0.143,0.193,0.491,hsv
17,0.567,Torchere A,Light-Flare,0.8541,bonne,166,147,227,223,0.307,0.126,0.343,0.528,hsv
17,0.567,Torchere B,Light-Flare,0.8542,moyenne,337,285,415,354,0.542,0.132,0.332,0.413,hsv
17,0.567,Torchere C,Light-Flare,0.7206,moyenne,541,269,623,341,0.504,0.166,0.154,0.475,hsv
18,0.601,Torchere A,Light-Flare,0.8697,bonne,160,145,227,223,0.367,0.123,0.396,0.499,hsv
18,0.601,Torchere B,Light-Flare,0.8205,moyenne,359,285,415,354,0.443,0.15,0.294,0.498,hsv
18,0.601,Torchere C,Medium-Flare,0.6700,mauvaise,540,264,623,340,0.532,0.193,0.163,0.459,hsv
19,0.634,Torchere A,Light-Flare,0.8839,bonne,159,142,227,223,0.392,0.118,0.418,0.486,hsv
19,0.634,Torchere B,Light-Flare,0.8488,moyenne,356,284,416,353,0.479,0.149,0.302,0.493,hsv
19,0.634,Torchere C,Medium-Flare,0.4954,mauvaise,535,263,624,339,0.547,0.205,0.13,0.437,hsv
20,0.667,Torchere A,Light-Flare,0.8943,moyenne,156,142,227,223,0.401,0.102,0.403,0.475,hsv
20,0.667,Torchere B,Light-Flare,0.8656,moyenne,353,283,417,352,0.492,0.153,0.315,0.488,hsv
20,0.667,Torchere C,Medium-Flare,0.6065,mauvaise,537,261,623,339,0.554,0.186,0.17,0.428,hsv
20,0.667,Torchere C,Light-Flare,0.5829,mauvaise,539,262,623,340,0.542,0.19,0.173,0.434,hsv
21,0.701,Torchere A,Light-Flare,0.8845,bonne,155,144,227,222,0.362,0.107,0.385,0.485,hsv
21,0.701,Torchere B,Light-Flare,0.8778,moyenne,350,282,418,353,0.511,0.163,0.324,0.476,hsv
