frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Flare,0.7323,inactive,390,129,505,316,0.0,0.285,0.033,0.902,hsv
1,0.033,Torchere A,Light-Flare,0.3791,inactive,321,212,376,318,0.0,0.552,0.123,0.738,hsv
2,0.067,Torchere A,Light-Flare,0.5756,inactive,385,111,508,320,0.0,0.305,0.014,0.906,hsv
2,0.067,Torchere A,Light-Flare,0.4798,inactive,321,223,380,322,0.0,0.467,0.048,0.784,hsv
3,0.100,Torchere A,Light-Flare,0.6515,inactive,320,200,390,321,0.0,0.426,0.063,0.827,hsv
3,0.100,Torchere A,Light-Flare,0.4323,inactive,390,92,513,321,0.0,0.287,0.003,0.918,hsv
4,0.133,Torchere A,Light-Flare,0.6192,inactive,319,178,403,322,0.0,0.408,0.076,0.861,hsv
5,0.167,Torchere A,Light-Flare,0.4682,bonne,310,71,516,324,0.0,0.253,0.091,0.889,hsv
6,0.200,Torchere A,Light-Flare,0.5057,bonne,308,79,459,324,0.0,0.224,0.091,0.895,hsv
7,0.234,Torchere A,Light-Flare,0.5137,bonne,307,115,438,321,0.0,0.263,0.054,0.912,hsv
8,0.267,Torchere A,Light-Flare,0.4259,bonne,444,244,500,310,0.0,0.607,0.0,0.933,hsv
9,0.300,Torchere A,Light-Flare,0.3173,bonne,445,242,498,308,0.0,0.603,0.0,0.929,hsv
13,0.434,Torchere A,Light-Flare,0.4211,bonne,307,10,540,272,0.0,0.193,0.0,0.952,hsv
14,0.467,Torchere A,Light-Flare,0.5976,bonne,304,9,542,298,0.0,0.227,0.0,0.946,hsv
15,0.501,Torchere A,Light-Flare,0.5812,bonne,318,197,446,322,0.0,0.312,0.0,0.936,hsv
15,0.501,Torchere A,Light-Flare,0.3680,bonne,308,3,547,262,0.0,0.21,0.0,0.949,hsv
16,0.534,Torchere A,Light-Flare,0.2806,bonne,320,190,491,321,0.0,0.405,0.0,0.928,hsv
17,0.567,Torchere A,Light-Flare,0.3293,bonne,396,179,514,316,0.0,0.546,0.0,0.902,hsv
18,0.601,Torchere A,Light-Flare,0.6372,bonne,313,2,555,319,0.0,0.53,0.0,0.914,hsv
19,0.634,Torchere A,Light-Flare,0.5728,bonne,318,229,449,322,0.0,0.576,0.0,0.889,hsv
19,0.634,Torchere A,Light-Flare,0.3679,bonne,332,4,548,296,0.0,0.504,0.0,0.916,hsv
20,0.667,Torchere A,Light-Flare,0.6050,bonne,317,224,449,322,0.0,0.599,0.0,0.873,hsv
20,0.667,Torchere A,Light-Flare,0.4026,bonne,307,3,541,315,0.0,0.562,0.0,0.889,hsv
21,0.701,Torchere A,Light-Flare,0.7835,bonne,309,3,543,314,0.0,0.565,0.0,0.87,hsv
21,0.701,Torchere A,Light-Flare,0.5193,bonne,323,211,457,319,0.0,0.63,0.0,0.866,hsv
