frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.040,Torchere A,Light-Flare,0.8473,inactive,457,186,507,259,0.0,0.65,0.0,0.903,hsv
2,0.080,Torchere A,Light-Flare,0.8571,inactive,454,185,506,262,0.0,0.676,0.0,0.875,hsv
3,0.120,Torchere A,Light-Flare,0.8592,inactive,453,183,505,261,0.0,0.673,0.0,0.855,hsv
4,0.160,Torchere A,Light-Flare,0.8570,inactive,453,182,506,259,0.0,0.683,0.0,0.84,hsv
5,0.200,Torchere A,Light-Flare,0.8641,bonne,451,182,505,259,0.0,0.694,0.0,0.815,hsv
6,0.240,Torchere A,Light-Flare,0.8603,bonne,449,180,505,259,0.0,0.693,0.0,0.779,hsv
7,0.280,Torchere A,Light-Flare,0.8518,bonne,447,179,505,261,0.0,0.683,0.0,0.744,hsv
8,0.320,Torchere A,Light-Flare,0.8418,bonne,447,180,505,260,0.0,0.69,0.0,0.738,hsv
9,0.360,Torchere A,Light-Flare,0.8406,bonne,445,179,505,261,0.0,0.689,0.0,0.716,hsv
10,0.400,Torchere A,Light-Flare,0.8250,bonne,442,175,506,260,0.0,0.675,0.0,0.691,hsv
11,0.440,Torchere A,Light-Flare,0.8305,bonne,445,174,506,260,0.0,0.709,0.0,0.714,hsv
12,0.480,Torchere A,Light-Flare,0.8333,bonne,457,196,505,261,0.0,0.684,0.0,0.87,hsv
13,0.520,Torchere A,Light-Flare,0.8471,bonne,456,195,504,262,0.0,0.685,0.0,0.865,hsv
14,0.560,Torchere A,Light-Flare,0.8563,bonne,456,194,503,261,0.0,0.675,0.0,0.874,hsv
15,0.600,Torchere A,Light-Flare,0.8514,bonne,455,193,502,260,0.0,0.668,0.0,0.877,hsv
16,0.640,Torchere A,Light-Flare,0.8558,bonne,453,192,501,260,0.0,0.672,0.0,0.878,hsv
17,0.680,Torchere A,Light-Flare,0.8589,bonne,453,190,501,260,0.0,0.672,0.0,0.876,hsv
18,0.720,Torchere A,Light-Flare,0.8632,bonne,452,190,501,261,0.0,0.675,0.0,0.866,hsv
19,0.760,Torchere A,Light-Flare,0.8623,bonne,451,190,501,261,0.0,0.685,0.0,0.849,hsv
20,0.800,Torchere A,Light-Flare,0.8554,bonne,449,190,501,261,0.0,0.697,0.0,0.826,hsv
21,0.840,Torchere A,Light-Flare,0.8534,bonne,448,190,501,260,0.0,0.713,0.0,0.816,hsv
22,0.880,Torchere A,Light-Flare,0.8557,bonne,446,188,501,260,0.0,0.743,0.0,0.794,hsv
23,0.920,Torchere A,Light-Flare,0.8583,bonne,444,187,501,261,0.0,0.773,0.0,0.782,hsv
24,0.960,Torchere A,Light-Flare,0.8515,bonne,442,187,501,262,0.0,0.783,0.0,0.773,hsv
25,1.000,Torchere A,Light-Flare,0.8250,bonne,457,191,502,263,0.0,0.709,0.001,0.873,hsv
26,1.040,Torchere A,Light-Flare,0.8252,bonne,456,191,501,264,0.0,0.703,0.0,0.876,hsv
27,1.080,Torchere A,Light-Flare,0.8261,bonne,455,189,501,263,0.0,0.703,0.0,0.871,hsv
28,1.120,Torchere A,Light-Flare,0.8343,bonne,454,188,500,262,0.0,0.703,0.0,0.862,hsv
29,1.160,Torchere A,Light-Flare,0.8312,bonne,452,189,500,262,0.0,0.708,0.0,0.85,hsv
30,1.200,Torchere A,Light-Flare,0.8197,bonne,452,189,500,262,0.0,0.704,0.0,0.845,hsv
31,1.240,Torchere A,Light-Flare,0.8404,bonne,452,192,499,261,0.0,0.688,0.0,0.859,hsv
32,1.280,Torchere A,Light-Flare,0.8306,bonne,453,194,499,263,0.0,0.676,0.0,0.861,hsv
33,1.320,Torchere A,Light-Flare,0.8420,bonne,453,193,499,263,0.0,0.675,0.0,0.861,hsv
34,1.360,Torchere A,Light-Flare,0.8398,bonne,451,193,498,262,0.0,0.67,0.0,0.86,hsv
35,1.400,Torchere A,Light-Flare,0.8315,bonne,451,193,498,263,0.0,0.665,0.0,0.859,hsv
36,1.440,Torchere A,Light-Flare,0.8307,bonne,450,193,498,263,0.0,0.672,0.0,0.856,hsv
37,1.480,Torchere A,Light-Flare,0.8484,bonne,449,191,498,263,0.0,0.684,0.0,0.84,hsv
38,1.520,Torchere A,Light-Flare,0.8402,bonne,452,191,498,263,0.0,0.666,0.0,0.852,hsv
39,1.560,Torchere A,Light-Flare,0.8395,bonne,451,194,497,264,0.0,0.661,0.0,0.856,hsv
40,1.600,Torchere A,Light-Flare,0.8402,bonne,450,193,497,264,0.0,0.678,0.0,0.845,hsv
41,1.640,Torchere A,Light-Flare,0.8457,bonne,452,191,497,263,0.0,0.668,0.0,0.853,hsv
42,1.680,Torchere A,Light-Flare,0.8412,bonne,451,189,497,264,0.0,0.703,0.0,0.835,hsv
43,1.720,Torchere A,Light-Flare,0.8245,bonne,453,191,497,265,0.0,0.691,0.0,0.849,hsv
44,1.760,Torchere A,Light-Flare,0.8255,bonne,452,192,497,265,0.0,0.714,0.0,0.844,hsv
45,1.800,Torchere A,Light-Flare,0.8340,bonne,450,191,497,263,0.0,0.725,0.0,0.83,hsv
46,1.840,Torchere A,Light-Flare,0.8255,bonne,452,196,496,264,0.0,0.685,0.0,0.851,hsv
47,1.880,Torchere A,Light-Flare,0.8354,bonne,452,195,496,264,0.0,0.681,0.0,0.837,hsv
48,1.920,Torchere A,Light-Flare,0.8278,bonne,451,194,497,265,0.0,0.705,0.0,0.812,hsv
49,1.960,Torchere A,Light-Flare,0.8241,bonne,453,193,497,263,0.0,0.696,0.0,0.826,hsv
50,2.000,Torchere A,Light-Flare,0.8314,bonne,452,190,497,263,0.0,0.705,0.0,0.802,hsv
51,2.040,Torchere A,Light-Flare,0.8322,bonne,448,188,496,263,0.0,0.706,0.0,0.767,hsv
52,2.080,Torchere A,Light-Flare,0.8049,bonne,450,195,495,263,0.0,0.718,0.001,0.813,hsv
53,2.120,Torchere A,Light-Flare,0.7984,bonne,451,197,496,262,0.0,0.716,0.0,0.83,hsv
54,2.160,Torchere A,Light-Flare,0.7858,bonne,454,201,494,264,0.0,0.675,0.0,0.866,hsv
55,2.200,Torchere A,Light-Flare,0.7965,bonne,453,201,494,264,0.0,0.673,0.0,0.875,hsv
56,2.240,Torchere A,Light-Flare,0.8079,bonne,452,202,493,263,0.0,0.648,0.0,0.896,hsv
57,2.280,Torchere A,Light-Flare,0.8107,bonne,450,200,493,264,0.0,0.659,0.0,0.89,hsv
58,2.320,Torchere A,Light-Flare,0.8079,bonne,449,198,493,264,0.0,0.663,0.0,0.888,hsv
59,2.360,Torchere A,Light-Flare,0.8262,bonne,447,197,493,264,0.0,0.663,0.0,0.883,hsv
60,2.400,Torchere A,Light-Flare,0.8378,bonne,445,195,493,264,0.0,0.669,0.0,0.872,hsv
61,2.440,Torchere A,Light-Flare,0.8462,bonne,443,194,494,264,0.0,0.688,0.0,0.857,hsv
62,2.480,Torchere A,Light-Flare,0.8266,bonne,447,193,494,264,0.0,0.672,0.0,0.866,hsv
63,2.520,Torchere A,Light-Flare,0.8189,bonne,449,192,494,264,0.0,0.655,0.0,0.858,hsv
64,2.560,Torchere A,Light-Flare,0.8195,bonne,448,192,494,264,0.0,0.662,0.0,0.841,hsv
65,2.600,Torchere A,Light-Flare,0.8352,bonne,446,192,493,264,0.0,0.684,0.0,0.825,hsv
66,2.640,Torchere A,Light-Flare,0.8293,bonne,446,193,493,265,0.0,0.693,0.001,0.824,hsv
67,2.680,Torchere A,Light-Flare,0.8217,bonne,446,193,492,264,0.0,0.703,0.0,0.83,hsv
68,2.720,Torchere A,Light-Flare,0.8193,bonne,447,195,493,264,0.0,0.703,0.0,0.841,hsv
69,2.760,Torchere A,Light-Flare,0.8374,bonne,447,196,492,264,0.0,0.679,0.0,0.847,hsv
70,2.800,Torchere A,Light-Flare,0.8422,bonne,444,195,491,263,0.0,0.697,0.0,0.822,hsv
71,2.840,Torchere A,Light-Flare,0.8318,bonne,445,195,491,264,0.0,0.688,0.0,0.809,hsv
72,2.880,Torchere A,Light-Flare,0.8181,bonne,447,194,491,264,0.0,0.687,0.0,0.803,hsv
73,2.920,Torchere A,Light-Flare,0.8124,bonne,447,193,491,264,0.0,0.703,0.0,0.792,hsv
74,2.960,Torchere A,Light-Flare,0.8118,bonne,448,194,490,263,0.0,0.71,0.0,0.807,hsv
75,3.000,Torchere A,Light-Flare,0.8211,bonne,449,196,490,263,0.0,0.697,0.0,0.829,hsv
76,3.040,Torchere A,Light-Flare,0.8076,bonne,448,195,490,264,0.0,0.715,0.0,0.821,hsv
77,3.080,Torchere A,Light-Flare,0.8121,bonne,448,193,490,263,0.0,0.732,0.0,0.827,hsv
78,3.120,Torchere A,Light-Flare,0.8034,bonne,447,193,490,263,0.0,0.722,0.0,0.839,hsv
79,3.160,Torchere A,Light-Flare,0.8138,bonne,445,192,490,263,0.0,0.725,0.0,0.845,hsv
80,3.200,Torchere A,Light-Flare,0.8248,bonne,444,191,490,263,0.0,0.724,0.0,0.852,hsv
81,3.240,Torchere A,Light-Flare,0.8163,bonne,445,192,489,262,0.0,0.699,0.0,0.876,hsv
82,3.280,Torchere A,Light-Flare,0.8390,bonne,445,192,489,263,0.0,0.693,0.0,0.878,hsv
83,3.320,Torchere A,Light-Flare,0.8442,bonne,443,192,489,264,0.0,0.692,0.0,0.865,hsv
84,3.360,Torchere A,Light-Flare,0.8522,bonne,442,191,488,263,0.0,0.683,0.0,0.863,hsv
85,3.400,Torchere A,Light-Flare,0.8459,bonne,444,190,488,264,0.0,0.673,0.0,0.862,hsv
86,3.440,Torchere A,Light-Flare,0.8275,bonne,442,190,488,265,0.0,0.685,0.001,0.839,hsv
87,3.480,Torchere A,Light-Flare,0.8315,bonne,441,191,488,264,0.0,0.684,0.0,0.834,hsv
88,3.520,Torchere A,Light-Flare,0.8373,bonne,438,190,488,265,0.0,0.697,0.0,0.796,hsv
89,3.560,Torchere A,Light-Flare,0.8252,bonne,437,192,488,266,0.0,0.696,0.0,0.785,hsv
90,3.600,Torchere A,Light-Flare,0.8255,bonne,435,193,487,264,0.0,0.704,0.0,0.776,hsv
91,3.640,Torchere A,Light-Flare,0.8353,bonne,434,191,487,266,0.0,0.721,0.0,0.751,hsv
92,3.680,Torchere A,Light-Flare,0.8459,bonne,433,189,486,266,0.0,0.727,0.0,0.735,hsv
93,3.720,Torchere A,Light-Flare,0.8387,bonne,432,190,487,265,0.0,0.76,0.0,0.736,hsv
94,3.760,Torchere A,Light-Flare,0.7671,bonne,447,198,488,266,0.0,0.711,0.0,0.849,hsv
95,3.800,Torchere A,Light-Flare,0.7790,bonne,448,199,488,265,0.0,0.68,0.001,0.868,hsv
96,3.840,Torchere A,Light-Flare,0.7806,bonne,447,199,488,264,0.0,0.673,0.001,0.878,hsv
97,3.880,Torchere A,Light-Flare,0.7773,bonne,444,198,488,263,0.0,0.687,0.0,0.881,hsv
98,3.920,Torchere A,Light-Flare,0.7813,bonne,443,197,487,263,0.0,0.687,0.0,0.891,hsv
99,3.960,Torchere A,Light-Flare,0.7815,bonne,444,196,486,261,0.0,0.649,0.0,0.913,hsv
100,4.000,Torchere A,Light-Flare,0.7838,bonne,443,194,486,263,0.0,0.654,0.0,0.904,hsv
101,4.040,Torchere A,Light-Flare,0.8080,bonne,440,192,485,262,0.0,0.657,0.0,0.9,hsv
102,4.080,Torchere A,Light-Flare,0.8219,bonne,440,190,485,261,0.0,0.65,0.0,0.897,hsv
103,4.120,Torchere A,Light-Flare,0.8324,bonne,438,189,484,261,0.0,0.654,0.0,0.887,hsv
104,4.160,Torchere A,Light-Flare,0.8328,bonne,437,189,485,262,0.0,0.676,0.0,0.867,hsv
