frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Medium-Flare,0.7270,inactive,161,424,323,531,0.076,0.288,0.394,0.665,hsv
2,0.067,Torchere A,Medium-Flare,0.7300,inactive,163,427,323,529,0.077,0.294,0.379,0.667,hsv
3,0.100,Torchere A,Medium-Flare,0.7465,inactive,160,430,323,531,0.082,0.281,0.407,0.659,hsv
4,0.133,Torchere A,Medium-Flare,0.4132,inactive,140,432,326,536,0.076,0.23,0.502,0.648,hsv
5,0.167,Torchere A,Medium-Flare,0.5096,moyenne,140,431,325,535,0.076,0.233,0.51,0.644,hsv
5,0.167,Torchere A,Dark-Flare,0.2954,moyenne,148,436,324,531,0.081,0.268,0.488,0.649,hsv
6,0.200,Torchere A,Medium-Flare,0.6664,moyenne,151,431,323,535,0.081,0.249,0.502,0.643,hsv
6,0.200,Torchere A,Dark-Flare,0.3552,moyenne,152,432,320,533,0.08,0.263,0.489,0.648,hsv
7,0.234,Torchere A,Medium-Flare,0.8342,bonne,154,431,317,532,0.078,0.254,0.441,0.653,hsv
8,0.267,Torchere A,Medium-Flare,0.8020,bonne,142,430,317,531,0.071,0.243,0.437,0.65,hsv
9,0.300,Torchere A,Medium-Flare,0.7640,bonne,131,428,321,526,0.064,0.229,0.435,0.648,hsv
10,0.334,Torchere A,Medium-Flare,0.6433,bonne,121,427,321,528,0.061,0.211,0.46,0.646,hsv
11,0.367,Torchere A,Medium-Flare,0.4456,bonne,107,428,322,527,0.057,0.204,0.469,0.646,hsv
12,0.400,Torchere A,Medium-Flare,0.2933,bonne,124,428,322,512,0.058,0.259,0.407,0.655,hsv
13,0.434,Torchere A,Medium-Flare,0.4867,bonne,107,423,322,520,0.053,0.205,0.444,0.648,hsv
14,0.467,Torchere A,Medium-Flare,0.3020,bonne,159,425,319,514,0.07,0.311,0.37,0.675,hsv
15,0.501,Torchere A,Medium-Flare,0.4741,bonne,176,419,317,519,0.073,0.339,0.35,0.68,hsv
17,0.567,Torchere A,Medium-Flare,0.3920,bonne,176,421,312,522,0.077,0.358,0.351,0.691,hsv
18,0.601,Torchere A,Dark-Flare,0.4497,moyenne,172,421,301,522,0.059,0.373,0.316,0.709,hsv
18,0.601,Torchere A,Medium-Flare,0.3352,moyenne,171,421,303,520,0.062,0.372,0.31,0.706,hsv
19,0.634,Torchere A,Dark-Flare,0.3950,moyenne,167,427,304,524,0.067,0.35,0.323,0.694,hsv
19,0.634,Torchere A,Medium-Flare,0.3231,moyenne,166,426,306,522,0.069,0.346,0.316,0.691,hsv
20,0.667,Torchere A,Medium-Flare,0.6788,bonne,164,431,311,523,0.079,0.321,0.363,0.676,hsv
21,0.701,Torchere A,Medium-Flare,0.7950,bonne,157,433,310,523,0.075,0.331,0.35,0.679,hsv
22,0.734,Torchere A,Medium-Flare,0.7993,bonne,152,429,319,526,0.07,0.293,0.397,0.664,hsv
23,0.767,Torchere A,Medium-Flare,0.7541,bonne,146,432,317,526,0.071,0.29,0.394,0.662,hsv
24,0.801,Torchere A,Medium-Flare,0.7385,bonne,142,437,315,524,0.072,0.305,0.359,0.664,hsv
25,0.834,Torchere A,Medium-Flare,0.6594,bonne,137,435,314,522,0.069,0.314,0.343,0.665,hsv
26,0.868,Torchere A,Medium-Flare,0.5602,moyenne,128,435,309,527,0.065,0.271,0.369,0.665,hsv
26,0.868,Torchere A,Dark-Flare,0.4384,moyenne,128,435,310,527,0.065,0.27,0.372,0.664,hsv
27,0.901,Torchere A,Dark-Flare,0.6529,moyenne,123,442,311,531,0.071,0.266,0.398,0.656,hsv
27,0.901,Torchere A,Medium-Flare,0.3542,moyenne,125,441,312,532,0.071,0.261,0.405,0.654,hsv
28,0.934,Torchere A,Medium-Flare,0.5955,moyenne,122,443,310,530,0.07,0.258,0.394,0.654,hsv
28,0.934,Torchere A,Dark-Flare,0.2952,moyenne,125,441,312,532,0.07,0.248,0.404,0.65,hsv
29,0.968,Torchere A,Dark-Flare,0.7734,moyenne,120,440,305,536,0.065,0.222,0.417,0.65,hsv
29,0.968,Torchere A,Medium-Flare,0.4756,moyenne,118,442,307,534,0.067,0.227,0.418,0.648,hsv
30,1.001,Torchere A,Medium-Flare,0.5600,moyenne,111,437,305,534,0.061,0.204,0.424,0.645,hsv
30,1.001,Torchere A,Dark-Flare,0.4605,moyenne,111,438,304,534,0.061,0.207,0.424,0.647,hsv
31,1.034,Torchere A,Medium-Flare,0.6739,bonne,104,436,302,545,0.06,0.183,0.474,0.646,hsv
32,1.068,Torchere A,Medium-Flare,0.6187,moyenne,92,431,298,544,0.048,0.18,0.483,0.653,hsv
32,1.068,Torchere A,Dark-Flare,0.3369,moyenne,93,430,298,549,0.05,0.172,0.495,0.652,hsv
33,1.101,Torchere A,Medium-Flare,0.6340,bonne,114,439,303,556,0.073,0.208,0.474,0.653,hsv
34,1.134,Torchere A,Dark-Flare,0.5857,mauvaise,118,435,296,551,0.057,0.236,0.409,0.675,hsv
35,1.168,Torchere A,Medium-Flare,0.5937,bonne,117,438,296,560,0.063,0.229,0.423,0.668,hsv
36,1.201,Torchere A,Medium-Flare,0.6649,moyenne,108,439,294,556,0.055,0.242,0.443,0.672,hsv
36,1.201,Torchere A,Dark-Flare,0.4389,moyenne,108,439,292,559,0.05,0.238,0.44,0.674,hsv
37,1.235,Torchere A,Medium-Flare,0.6564,bonne,102,437,293,540,0.043,0.283,0.372,0.684,hsv
