frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Flare,0.8015,inactive,181,268,214,337,,,,,svm
1,0.033,Torchere B,Light-Flare,0.4879,inactive,298,322,321,357,,,,,svm
1,0.033,Torchere C,Light-Flare,0.8564,inactive,303,65,365,324,,,,,svm
2,0.067,Torchere A,Light-Flare,0.8070,inactive,180,267,214,336,,,,,svm
2,0.067,Torchere B,Light-Flare,0.6978,inactive,297,322,319,355,,,,,svm
2,0.067,Torchere C,Light-Flare,0.8674,inactive,302,63,364,322,,,,,svm
3,0.100,Torchere A,Light-Flare,0.8156,inactive,180,261,213,333,,,,,svm
3,0.100,Torchere B,Light-Flare,0.7042,inactive,298,320,318,354,,,,,svm
3,0.100,Torchere C,Light-Flare,0.8455,inactive,302,69,363,321,,,,,svm
4,0.133,Torchere A,Light-Flare,0.8221,inactive,179,257,214,332,,,,,svm
4,0.133,Torchere B,Light-Flare,0.4666,inactive,299,328,317,353,,,,,svm
4,0.133,Torchere C,Light-Flare,0.8699,inactive,305,78,363,321,,,,,svm
5,0.167,Torchere A,Light-Flare,0.8249,moyenne,179,255,215,332,,,,,svm
5,0.167,Torchere B,Light-Flare,0.5916,bonne,298,328,316,352,,,,,svm
5,0.167,Torchere C,Light-Flare,0.8758,moyenne,304,73,364,321,,,,,svm
6,0.200,Torchere A,Light-Flare,0.8265,moyenne,179,253,214,331,,,,,svm
6,0.200,Torchere B,Light-Flare,0.3159,bonne,298,325,317,352,,,,,svm
6,0.200,Torchere C,Light-Flare,0.8726,moyenne,304,68,362,321,,,,,svm
7,0.234,Torchere A,Light-Flare,0.8254,moyenne,179,249,216,332,,,,,svm
7,0.234,Torchere B,Light-Flare,0.4025,bonne,298,323,317,351,,,,,svm
7,0.234,Torchere C,Light-Flare,0.8665,moyenne,303,61,365,321,,,,,svm
8,0.267,Torchere A,Light-Flare,0.8219,moyenne,179,247,216,332,,,,,svm
8,0.267,Torchere B,Light-Flare,0.3636,bonne,296,321,317,351,,,,,svm
8,0.267,Torchere C,Light-Flare,0.8689,moyenne,302,53,365,320,,,,,svm
9,0.300,Torchere A,Light-Flare,0.8298,moyenne,180,243,217,332,,,,,svm
9,0.300,Torchere C,Light-Flare,0.8683,moyenne,301,48,367,320,,,,,svm
10,0.334,Torchere A,Light-Flare,0.8230,moyenne,180,240,216,331,,,,,svm
10,0.334,Torchere B,Light-Flare,0.4860,bonne,295,318,317,352,,,,,svm
10,0.334,Torchere C,Light-Flare,0.8638,moyenne,303,43,364,322,,,,,svm
11,0.367,Torchere A,Light-Flare,0.8149,moyenne,179,237,215,330,,,,,svm
11,0.367,Torchere B,Light-Flare,0.4511,bonne,295,317,317,351,,,,,svm
11,0.367,Torchere C,Light-Flare,0.8701,moyenne,298,33,368,322,,,,,svm
12,0.400,Torchere A,Light-Flare,0.8246,bonne,178,236,217,330,,,,,svm
12,0.400,Torchere B,Light-Flare,0.4342,bonne,294,317,317,350,,,,,svm
12,0.400,Torchere C,Light-Flare,0.8633,moyenne,298,22,369,320,,,,,svm
13,0.434,Torchere A,Light-Flare,0.8194,moyenne,178,234,216,329,,,,,svm
13,0.434,Torchere B,Light-Flare,0.5563,bonne,295,316,316,350,,,,,svm
13,0.434,Torchere C,Light-Flare,0.8404,moyenne,300,25,369,320,,,,,svm
