frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.042,Torchere A,Light-Flare,0.2892,inactive,59,1002,101,1048,,,,,svm
1,0.042,Torchere B,Light-Flare,0.7944,inactive,732,275,869,523,,,,,svm
1,0.042,Torchere B,Medium-Smoke,0.5822,inactive,365,2,1172,531,,,,,svm
1,0.042,Torchere B,Dark-Smoke,0.5692,inactive,328,0,1171,531,,,,,svm
2,0.083,Torchere A,Light-Flare,0.3903,inactive,56,1001,103,1051,,,,,svm
2,0.083,Torchere B,Light-Flare,0.7932,inactive,734,273,868,523,,,,,svm
2,0.083,Torchere B,Dark-Smoke,0.7117,inactive,332,0,1178,531,,,,,svm
3,0.125,Torchere A,Light-Flare,0.4146,inactive,55,1001,103,1052,,,,,svm
3,0.125,Torchere B,Light-Flare,0.8289,inactive,737,271,868,523,,,,,svm
3,0.125,Torchere B,Dark-Smoke,0.7608,inactive,330,0,1174,531,,,,,svm
4,0.167,Torchere A,Light-Flare,0.4818,inactive,57,1003,98,1049,,,,,svm
4,0.167,Torchere B,Light-Flare,0.8321,inactive,734,268,872,521,,,,,svm
4,0.167,Torchere B,Dark-Smoke,0.7938,inactive,358,1,1176,532,,,,,svm
5,0.209,Torchere A,Light-Flare,0.4133,moyenne,53,1001,101,1055,,,,,svm
5,0.209,Torchere B,Light-Flare,0.8418,mauvaise,730,282,872,521,,,,,svm
5,0.209,Torchere B,Dark-Smoke,0.6217,mauvaise,324,0,1171,530,,,,,svm
6,0.250,Torchere A,Light-Flare,0.4611,moyenne,49,997,102,1056,,,,,svm
6,0.250,Torchere B,Light-Flare,0.8085,mauvaise,727,286,869,521,,,,,svm
6,0.250,Torchere B,Dark-Smoke,0.7498,mauvaise,309,0,1181,531,,,,,svm
7,0.292,Torchere A,Light-Flare,0.3218,moyenne,50,998,99,1056,,,,,svm
7,0.292,Torchere B,Light-Flare,0.8029,mauvaise,725,285,866,520,,,,,svm
7,0.292,Torchere B,Dark-Smoke,0.7641,mauvaise,317,0,1180,530,,,,,svm
8,0.334,Torchere A,Light-Flare,0.3921,moyenne,44,996,101,1058,,,,,svm
8,0.334,Torchere B,Light-Flare,0.8107,mauvaise,724,287,864,521,,,,,svm
8,0.334,Torchere B,Dark-Smoke,0.8530,mauvaise,345,1,1178,533,,,,,svm
9,0.375,Torchere B,Light-Flare,0.7708,mauvaise,713,283,860,522,,,,,svm
9,0.375,Torchere B,Dark-Smoke,0.8856,mauvaise,351,1,1176,532,,,,,svm
10,0.417,Torchere B,Light-Flare,0.7635,mauvaise,719,287,860,524,,,,,svm
10,0.417,Torchere B,Dark-Smoke,0.8919,mauvaise,354,1,1178,534,,,,,svm
11,0.459,Torchere B,Light-Flare,0.7702,mauvaise,721,288,859,524,,,,,svm
11,0.459,Torchere B,Dark-Smoke,0.8689,mauvaise,352,1,1176,534,,,,,svm
12,0.501,Torchere B,Light-Flare,0.7278,mauvaise,707,285,860,526,,,,,svm
12,0.501,Torchere B,Dark-Smoke,0.8819,mauvaise,350,0,1176,536,,,,,svm
13,0.542,Torchere B,Light-Flare,0.7524,mauvaise,687,280,858,526,,,,,svm
13,0.542,Torchere B,Dark-Smoke,0.8677,mauvaise,336,0,1174,533,,,,,svm
14,0.584,Torchere B,Light-Flare,0.7443,mauvaise,687,279,865,525,,,,,svm
14,0.584,Torchere B,Dark-Smoke,0.8882,mauvaise,345,0,1172,533,,,,,svm
15,0.626,Torchere B,Light-Flare,0.7565,mauvaise,685,278,859,525,,,,,svm
15,0.626,Torchere B,Dark-Smoke,0.8852,mauvaise,341,0,1171,533,,,,,svm
16,0.667,Torchere B,Light-Flare,0.7502,mauvaise,677,278,854,527,,,,,svm
16,0.667,Torchere B,Dark-Smoke,0.8686,mauvaise,339,1,1166,534,,,,,svm
17,0.709,Torchere B,Light-Flare,0.6722,mauvaise,672,276,857,526,,,,,svm
17,0.709,Torchere B,Dark-Smoke,0.7947,mauvaise,324,0,1161,532,,,,,svm
18,0.751,Torchere B,Light-Flare,0.3133,mauvaise,696,278,868,528,,,,,svm
18,0.751,Torchere B,Dark-Smoke,0.7976,mauvaise,306,0,1145,535,,,,,svm
19,0.792,Torchere B,Light-Flare,0.4310,mauvaise,668,284,852,528,,,,,svm
19,0.792,Torchere B,Dark-Smoke,0.8264,mauvaise,305,0,1151,535,,,,,svm
20,0.834,Torchere B,Light-Flare,0.5436,mauvaise,664,283,849,530,,,,,svm
20,0.834,Torchere B,Dark-Smoke,0.8215,mauvaise,316,0,1150,535,,,,,svm
21,0.876,Torchere B,Light-Flare,0.4862,mauvaise,663,288,837,532,,,,,svm
21,0.876,Torchere B,Dark-Smoke,0.8429,mauvaise,329,0,1139,537,,,,,svm
22,0.918,Torchere B,Light-Flare,0.3871,mauvaise,674,278,838,533,,,,,svm
22,0.918,Torchere B,Dark-Smoke,0.8644,mauvaise,317,0,1147,537,,,,,svm
23,0.959,Torchere B,Light-Flare,0.5528,mauvaise,662,295,837,533,,,,,svm
23,0.959,Torchere B,Dark-Smoke,0.8408,mauvaise,307,0,1147,536,,,,,svm
24,1.001,Torchere B,Light-Flare,0.3706,mauvaise,675,286,839,534,,,,,svm
24,1.001,Torchere B,Dark-Smoke,0.8616,mauvaise,297,0,1145,539,,,,,svm
25,1.043,Torchere B,Dark-Smoke,0.8665,mauvaise,294,0,1139,538,,,,,svm
26,1.084,Torchere B,Dark-Smoke,0.8748,mauvaise,288,0,1140,538,,,,,svm
27,1.126,Torchere B,Light-Flare,0.3326,mauvaise,661,295,852,535,,,,,svm
27,1.126,Torchere B,Dark-Smoke,0.8641,mauvaise,287,0,1137,537,,,,,svm
28,1.168,Torchere A,Light-Flare,0.3026,moyenne,21,1008,76,1066,,,,,svm
28,1.168,Torchere B,Light-Flare,0.6161,mauvaise,677,305,841,534,,,,,svm
28,1.168,Torchere B,Dark-Smoke,0.8420,mauvaise,286,0,1135,537,,,,,svm
29,1.210,Torchere A,Light-Flare,0.3182,moyenne,22,1009,76,1066,,,,,svm
29,1.210,Torchere B,Light-Flare,0.5269,mauvaise,671,300,843,535,,,,,svm
29,1.210,Torchere B,Dark-Smoke,0.8265,mauvaise,287,0,1136,537,,,,,svm
30,1.251,Torchere B,Light-Flare,0.3888,mauvaise,677,299,850,535,,,,,svm
30,1.251,Torchere B,Dark-Smoke,0.8121,mauvaise,279,0,1143,536,,,,,svm
31,1.293,Torchere B,Dark-Smoke,0.8088,mauvaise,282,0,1141,538,,,,,svm
32,1.335,Torchere B,Dark-Smoke,0.7981,mauvaise,281,0,1146,537,,,,,svm
33,1.376,Torchere B,Dark-Smoke,0.8235,mauvaise,287,0,1147,538,,,,,svm
34,1.418,ambient,Dark-Smoke,0.8255,ambient_smoke,280,0,1153,541,,,,,svm
34,1.418,Torchere A,Light-Flare,0.4147,moyenne,25,1005,81,1064,,,,,svm
35,1.460,ambient,Dark-Smoke,0.8370,ambient_smoke,285,0,1141,542,,,,,svm
35,1.460,Torchere A,Light-Flare,0.5278,moyenne,31,1006,81,1063,,,,,svm
36,1.502,Torchere B,Dark-Smoke,0.8362,mauvaise,286,0,1142,543,,,,,svm
