frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Flare,0.4898,inactive,159,266,181,288,,,,,svm
2,0.067,Torchere A,Light-Flare,0.5615,inactive,159,265,181,290,,,,,svm
3,0.100,Torchere A,Light-Flare,0.7577,inactive,159,265,182,291,,,,,svm
4,0.133,Torchere A,Light-Flare,0.7011,inactive,159,266,182,290,,,,,svm
5,0.167,Torchere A,Light-Flare,0.7470,bonne,159,265,183,291,,,,,svm
6,0.200,Torchere A,Light-Flare,0.7802,bonne,160,266,182,290,,,,,svm
7,0.233,Torchere A,Light-Flare,0.7627,bonne,160,266,182,290,,,,,svm
8,0.267,Torchere A,Light-Flare,0.7906,bonne,160,266,182,290,,,,,svm
9,0.300,Torchere A,Light-Flare,0.7904,bonne,161,266,182,290,,,,,svm
10,0.333,Torchere A,Light-Flare,0.7625,bonne,161,266,182,290,,,,,svm
11,0.367,Torchere A,Light-Flare,0.7999,bonne,161,267,182,290,,,,,svm
12,0.400,Torchere A,Light-Flare,0.7789,bonne,161,267,183,290,,,,,svm
13,0.433,Torchere A,Light-Flare,0.7597,bonne,161,266,183,290,,,,,svm
14,0.467,Torchere A,Light-Flare,0.6934,bonne,161,266,183,290,,,,,svm
15,0.500,Torchere A,Light-Flare,0.6657,bonne,162,265,184,289,,,,,svm
16,0.533,Torchere A,Light-Flare,0.6487,bonne,162,266,184,290,,,,,svm
17,0.567,Torchere A,Light-Flare,0.6824,bonne,163,266,184,290,,,,,svm
18,0.600,Torchere A,Light-Flare,0.7224,bonne,163,268,182,290,,,,,svm
19,0.633,Torchere A,Light-Flare,0.7375,bonne,162,268,182,290,,,,,svm
20,0.667,Torchere A,Light-Flare,0.7457,bonne,162,268,183,291,,,,,svm
21,0.700,Torchere A,Light-Flare,0.7931,bonne,163,268,183,291,,,,,svm
22,0.733,Torchere A,Light-Flare,0.7600,bonne,162,267,183,291,,,,,svm
23,0.767,Torchere A,Light-Flare,0.7637,bonne,162,267,184,292,,,,,svm
24,0.800,Torchere A,Light-Flare,0.7596,bonne,162,267,184,293,,,,,svm
25,0.833,Torchere A,Light-Flare,0.7580,bonne,162,267,184,293,,,,,svm
26,0.867,Torchere A,Light-Flare,0.7620,bonne,162,266,185,293,,,,,svm
27,0.900,Torchere A,Light-Flare,0.7604,bonne,163,266,184,293,,,,,svm
28,0.933,Torchere A,Light-Flare,0.7568,bonne,163,266,184,293,,,,,svm
29,0.967,Torchere A,Light-Flare,0.7644,bonne,163,266,185,293,,,,,svm
30,1.000,Torchere A,Light-Flare,0.7489,bonne,163,266,185,293,,,,,svm
31,1.033,Torchere A,Light-Flare,0.7760,bonne,164,266,185,292,,,,,svm
32,1.067,Torchere A,Light-Flare,0.7268,bonne,164,266,184,292,,,,,svm
33,1.100,Torchere A,Light-Flare,0.7017,bonne,164,266,184,291,,,,,svm
34,1.133,Torchere A,Light-Flare,0.6201,bonne,165,265,184,292,,,,,svm
35,1.167,Torchere A,Light-Flare,0.6639,bonne,165,266,184,293,,,,,svm
36,1.200,Torchere A,Light-Flare,0.6416,bonne,165,266,184,293,,,,,svm
37,1.233,Torchere A,Light-Flare,0.6738,bonne,165,266,184,294,,,,,svm
38,1.267,Torchere A,Light-Flare,0.6699,bonne,165,266,185,295,,,,,svm
39,1.300,Torchere A,Light-Flare,0.4951,bonne,164,267,185,295,,,,,svm
40,1.333,Torchere A,Light-Flare,0.6573,bonne,163,267,185,296,,,,,svm
41,1.367,Torchere A,Light-Flare,0.6140,bonne,162,267,185,296,,,,,svm
42,1.400,Torchere A,Light-Flare,0.6352,bonne,163,268,185,296,,,,,svm
43,1.433,Torchere A,Light-Flare,0.5926,bonne,163,269,185,295,,,,,svm
44,1.467,Torchere A,Light-Flare,0.6569,bonne,163,271,185,295,,,,,svm
45,1.500,Torchere A,Light-Flare,0.6749,bonne,163,271,186,296,,,,,svm
46,1.533,Torchere A,Light-Flare,0.6771,bonne,163,271,186,296,,,,,svm
