frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Flare,0.6799,inactive,149,216,175,244,,,,,svm
2,0.067,Torchere A,Light-Flare,0.5593,inactive,148,216,174,243,,,,,svm
3,0.100,Torchere A,Light-Flare,0.7098,inactive,149,215,174,244,,,,,svm
4,0.133,Torchere A,Light-Flare,0.7026,inactive,146,214,174,244,,,,,svm
5,0.167,Torchere A,Light-Flare,0.7137,bonne,147,214,174,245,,,,,svm
6,0.200,Torchere A,Light-Flare,0.7258,bonne,145,214,175,245,,,,,svm
7,0.233,Torchere A,Light-Flare,0.6802,bonne,142,213,174,245,,,,,svm
8,0.267,Torchere A,Light-Flare,0.6322,bonne,137,209,174,247,,,,,svm
9,0.300,Torchere A,Light-Flare,0.6792,bonne,147,212,173,244,,,,,svm
10,0.333,Torchere A,Light-Flare,0.7068,bonne,146,212,174,244,,,,,svm
11,0.367,Torchere A,Light-Flare,0.6805,moyenne,137,210,176,246,,,,,svm
12,0.400,Torchere A,Light-Flare,0.6731,bonne,143,212,175,245,,,,,svm
13,0.433,Torchere A,Light-Flare,0.7169,bonne,144,213,173,245,,,,,svm
14,0.467,Torchere A,Light-Flare,0.6676,bonne,144,215,174,245,,,,,svm
15,0.500,Torchere A,Light-Flare,0.6538,bonne,146,216,173,244,,,,,svm
16,0.533,Torchere A,Light-Flare,0.6516,bonne,145,217,173,246,,,,,svm
17,0.567,Torchere A,Light-Flare,0.4771,bonne,146,217,172,245,,,,,svm
19,0.633,Torchere A,Light-Flare,0.3491,bonne,149,221,172,245,,,,,svm
22,0.733,Torchere A,Light-Flare,0.4144,bonne,149,220,172,244,,,,,svm
23,0.767,Torchere A,Light-Flare,0.5822,bonne,149,220,172,246,,,,,svm
24,0.800,Torchere A,Light-Flare,0.6555,bonne,148,218,173,246,,,,,svm
25,0.833,Torchere A,Light-Flare,0.5185,bonne,148,218,173,247,,,,,svm
26,0.867,Torchere A,Light-Flare,0.6504,bonne,148,218,174,248,,,,,svm
27,0.900,Torchere A,Light-Flare,0.7169,bonne,148,217,174,248,,,,,svm
28,0.933,Torchere A,Light-Flare,0.6705,mauvaise,147,217,176,246,,,,,svm
28,0.933,Torchere A,Dark-Smoke,0.4463,mauvaise,0,187,360,628,,,,,svm
30,1.000,Torchere A,Light-Flare,0.6605,mauvaise,149,218,172,246,,,,,svm
30,1.000,Torchere A,Dark-Smoke,0.6829,mauvaise,0,197,358,639,,,,,svm
31,1.033,Torchere A,Light-Flare,0.7293,bonne,147,215,179,245,,,,,svm
32,1.067,Torchere A,Light-Flare,0.7591,bonne,146,214,179,244,,,,,svm
33,1.100,Torchere A,Light-Flare,0.7570,bonne,145,214,179,246,,,,,svm
34,1.133,Torchere A,Light-Flare,0.7755,moyenne,144,213,178,246,,,,,svm
35,1.167,Torchere A,Light-Flare,0.7346,moyenne,144,212,178,245,,,,,svm
36,1.200,Torchere A,Light-Flare,0.7331,moyenne,143,212,177,246,,,,,svm
37,1.233,Torchere A,Light-Flare,0.6969,moyenne,141,208,179,246,,,,,svm
38,1.267,Torchere A,Light-Flare,0.6507,moyenne,139,207,181,247,,,,,svm
39,1.300,Torchere A,Light-Flare,0.6187,bonne,146,219,171,247,,,,,svm
40,1.333,Torchere A,Light-Flare,0.6856,bonne,145,220,170,246,,,,,svm
41,1.367,Torchere A,Light-Flare,0.6128,bonne,143,221,170,249,,,,,svm
42,1.400,Torchere A,Light-Flare,0.5031,bonne,144,221,169,248,,,,,svm
43,1.433,Torchere A,Light-Flare,0.4635,bonne,144,220,170,249,,,,,svm
44,1.467,Torchere A,Light-Flare,0.5992,bonne,144,219,170,249,,,,,svm
45,1.500,Torchere A,Light-Flare,0.5131,bonne,143,218,170,249,,,,,svm
46,1.533,Torchere A,Light-Flare,0.5957,bonne,142,218,169,249,,,,,svm
47,1.567,Torchere A,Light-Flare,0.7178,bonne,142,217,168,247,,,,,svm
48,1.600,Torchere A,Light-Flare,0.7163,bonne,142,216,168,247,,,,,svm
49,1.633,Torchere A,Light-Flare,0.7179,bonne,141,216,168,248,,,,,svm
