frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.040,Torchere A,Medium-Flare,0.3908,inactive,305,201,325,219,,,,,svm
1,0.040,Torchere B,Medium-Flare,0.4831,inactive,486,196,514,215,,,,,svm
1,0.040,Torchere B,Light-Flare,0.2883,inactive,487,195,514,215,,,,,svm
2,0.080,Torchere A,Medium-Flare,0.4260,inactive,303,202,324,222,,,,,svm
2,0.080,Torchere B,Light-Flare,0.3578,inactive,489,197,512,215,,,,,svm
3,0.120,Torchere A,Medium-Flare,0.5791,inactive,300,204,320,222,,,,,svm
3,0.120,Torchere B,Light-Flare,0.3434,inactive,487,200,510,219,,,,,svm
4,0.160,Torchere A,Medium-Flare,0.4753,inactive,299,204,317,224,,,,,svm
4,0.160,Torchere B,Medium-Flare,0.4887,inactive,480,201,510,221,,,,,svm
5,0.200,Torchere A,Medium-Flare,0.6763,bonne,295,202,319,225,,,,,svm
5,0.200,Torchere B,Medium-Flare,0.5129,moyenne,481,201,509,222,,,,,svm
6,0.240,Torchere A,Medium-Flare,0.5982,bonne,297,201,319,223,,,,,svm
6,0.240,Torchere B,Medium-Flare,0.4371,bonne,480,198,508,216,,,,,svm
7,0.280,Torchere A,Medium-Flare,0.3866,bonne,298,200,318,220,,,,,svm
7,0.280,Torchere B,Light-Flare,0.6597,bonne,479,192,507,215,,,,,svm
8,0.320,Torchere A,Medium-Flare,0.3571,bonne,299,200,319,221,,,,,svm
8,0.320,Torchere A,Light-Flare,0.2980,bonne,298,200,319,222,,,,,svm
8,0.320,Torchere B,Light-Flare,0.5932,bonne,480,193,507,215,,,,,svm
9,0.360,Torchere A,Medium-Flare,0.6727,bonne,297,200,318,223,,,,,svm
9,0.360,Torchere B,Light-Flare,0.6819,bonne,479,194,507,216,,,,,svm
10,0.400,Torchere A,Light-Flare,0.3311,bonne,299,200,318,222,,,,,svm
10,0.400,Torchere A,Medium-Flare,0.3163,bonne,299,200,318,221,,,,,svm
10,0.400,Torchere B,Light-Flare,0.6201,bonne,480,193,507,214,,,,,svm
11,0.440,Torchere B,Light-Flare,0.6597,moyenne,480,189,509,211,,,,,svm
11,0.440,Torchere B,Medium-Flare,0.3713,moyenne,480,190,508,210,,,,,svm
12,0.480,Torchere A,Medium-Flare,0.3530,bonne,299,196,318,214,,,,,svm
12,0.480,Torchere B,Light-Flare,0.6011,moyenne,481,185,507,206,,,,,svm
13,0.520,Torchere A,Medium-Flare,0.4298,bonne,295,196,317,213,,,,,svm
13,0.520,Torchere B,Light-Flare,0.6074,bonne,481,184,507,205,,,,,svm
14,0.560,Torchere A,Medium-Flare,0.2863,bonne,296,194,319,213,,,,,svm
14,0.560,Torchere B,Light-Flare,0.4102,bonne,482,184,506,205,,,,,svm
15,0.600,Torchere A,Medium-Flare,0.5254,bonne,296,192,318,214,,,,,svm
15,0.600,Torchere B,Light-Flare,0.4881,bonne,481,182,507,204,,,,,svm
16,0.640,Torchere A,Medium-Flare,0.4514,bonne,296,190,318,211,,,,,svm
16,0.640,Torchere A,Light-Flare,0.3947,bonne,296,190,318,211,,,,,svm
16,0.640,Torchere B,Medium-Flare,0.4619,bonne,483,181,507,204,,,,,svm
16,0.640,Torchere B,Light-Flare,0.3073,bonne,481,179,507,204,,,,,svm
17,0.680,Torchere A,Medium-Flare,0.5633,bonne,296,190,317,209,,,,,svm
17,0.680,Torchere B,Medium-Flare,0.4603,bonne,482,181,507,203,,,,,svm
18,0.720,Torchere A,Medium-Flare,0.6621,bonne,296,189,318,211,,,,,svm
18,0.720,Torchere B,Medium-Flare,0.3894,bonne,482,182,508,204,,,,,svm
19,0.760,Torchere A,Medium-Flare,0.6360,bonne,297,190,319,211,,,,,svm
19,0.760,Torchere B,Light-Flare,0.4000,bonne,481,181,507,205,,,,,svm
19,0.760,Torchere B,Medium-Flare,0.3300,bonne,481,182,508,205,,,,,svm
20,0.800,Torchere A,Medium-Flare,0.6989,bonne,297,190,319,213,,,,,svm
20,0.800,Torchere B,Light-Flare,0.4787,bonne,480,182,507,207,,,,,svm
21,0.840,Torchere A,Medium-Flare,0.7068,bonne,297,190,318,213,,,,,svm
21,0.840,Torchere B,Light-Flare,0.5515,bonne,479,183,507,208,,,,,svm
22,0.880,Torchere A,Medium-Flare,0.6596,bonne,297,191,318,214,,,,,svm
22,0.880,Torchere B,Light-Flare,0.6300,bonne,479,184,509,208,,,,,svm
23,0.920,Torchere A,Medium-Flare,0.4946,bonne,298,192,319,215,,,,,svm
23,0.920,Torchere B,Light-Flare,0.6454,bonne,479,184,509,211,,,,,svm
24,0.960,Torchere A,Medium-Flare,0.4475,bonne,298,193,319,216,,,,,svm
24,0.960,Torchere B,Medium-Flare,0.4645,bonne,480,187,509,212,,,,,svm
24,0.960,Torchere B,Light-Flare,0.4520,bonne,479,185,509,213,,,,,svm
25,1.000,Torchere A,Medium-Flare,0.3948,bonne,298,194,319,217,,,,,svm
25,1.000,Torchere A,Light-Flare,0.3578,bonne,297,194,319,217,,,,,svm
25,1.000,Torchere B,Light-Flare,0.5441,bonne,479,191,507,214,,,,,svm
26,1.040,Torchere A,Medium-Flare,0.3807,bonne,296,198,318,220,,,,,svm
