epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,149.275,1.52931,1.9116,1.72816,0.69962,0.75634,0.76339,0.44056,1.32056,0.97843,1.49723,0.00597865,0.00199288,0.00597865,0.00199288,0.00597865,0.00199288,0.00597865,0.00199288
2,273.452,1.37007,1.16873,1.5625,0.70158,0.73331,0.74318,0.41808,1.37937,1.11843,1.59896,0.0119779,0.00399264,0.0119779,0.00399264,0.0119779,0.00399264,0.0119779,0.00399264
3,392.911,1.4028,1.18735,1.59715,0.72939,0.79259,0.8127,0.46307,1.3938,0.95743,1.56291,0.0179742,0.00599141,0.0179742,0.00599141,0.0179742,0.00599141,0.0179742,0.00599141
4,507.62,1.41474,1.20552,1.61137,0.75438,0.73197,0.77876,0.44997,1.40769,1.0485,1.61785,0.0239654,0.00798847,0.0239654,0.00798847,0.0239654,0.00798847,0.0239654,0.00798847
5,618.423,1.42064,1.2238,1.61677,0.6951,0.75433,0.75838,0.42157,1.4085,1.0779,1.60011,0.0299492,0.00998307,0.0299492,0.00998307,0.0299492,0.00998307,0.0299492,0.00998307
6,728.889,1.42613,1.19645,1.62366,0.72068,0.70273,0.72922,0.39261,1.44733,1.06195,1.67071,0.029954,0.00998466,0.029954,0.00998466,0.029954,0.00998466,0.029954,0.00998466
7,838.827,1.38566,1.14438,1.59567,0.77182,0.73955,0.77026,0.45312,1.33152,0.90854,1.53782,0.0299338,0.00997792,0.0299338,0.00997792,0.0299338,0.00997792,0.0299338,0.00997792
8,949.309,1.34613,1.07575,1.57592,0.80772,0.80122,0.82566,0.50593,1.29517,0.83236,1.4947,0.0299099,0.00996996,0.0299099,0.00996996,0.0299099,0.00996996,0.0299099,0.00996996
9,1059.15,1.3199,1.04042,1.54485,0.81503,0.82167,0.82349,0.4904,1.2938,0.83439,1.51911,0.0298823,0.00996077,0.0298823,0.00996077,0.0298823,0.00996077,0.0298823,0.00996077
10,1169.16,1.2949,1.01645,1.52593,0.83266,0.77607,0.83497,0.52872,1.20798,0.78475,1.4122,0.0298511,0.00995037,0.0298511,0.00995037,0.0298511,0.00995037,0.0298511,0.00995037
