epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,165.52,1.54833,2.08572,1.75905,0.6933,0.67907,0.70849,0.35085,1.59609,1.0448,1.61391,0.0059893,0.00199643,0.0059893,0.00199643,0.0059893,0.00199643,0.0059893,0.00199643
2,296.832,1.38246,1.22556,1.58537,0.79397,0.75471,0.79543,0.4345,1.45663,0.88337,1.53608,0.0119886,0.00399619,0.0119886,0.00399619,0.0119886,0.00399619,0.0119886,0.00399619
3,418.394,1.38361,1.19386,1.59029,0.74813,0.75939,0.79549,0.43556,1.42093,0.92255,1.57832,0.0179849,0.00599496,0.0179849,0.00599496,0.0179849,0.00599496,0.0179849,0.00599496
4,535.529,1.40495,1.20177,1.60639,0.79937,0.77294,0.8199,0.46263,1.43175,0.89926,1.55048,0.0239761,0.00799202,0.0239761,0.00799202,0.0239761,0.00799202,0.0239761,0.00799202
5,670.352,1.41195,1.22972,1.62339,0.78443,0.75445,0.78986,0.42866,1.49178,0.94039,1.63554,0.0299599,0.00998662,0.0299599,0.00998662,0.0299599,0.00998662,0.0299599,0.00998662
6,788.037,1.41013,1.21923,1.61418,0.75668,0.76061,0.77925,0.42832,1.43096,0.93766,1.57792,0.029954,0.00998466,0.029954,0.00998466,0.029954,0.00998466,0.029954,0.00998466
7,911.371,1.3867,1.16789,1.61054,0.83692,0.80237,0.84395,0.48193,1.38506,0.85506,1.55019,0.0299338,0.00997792,0.0299338,0.00997792,0.0299338,0.00997792,0.0299338,0.00997792
8,1029.27,1.34368,1.10819,1.57281,0.81167,0.79754,0.85234,0.48349,1.38895,0.84164,1.55266,0.0299099,0.00996996,0.0299099,0.00996996,0.0299099,0.00996996,0.0299099,0.00996996
9,1153.78,1.32928,1.07587,1.5625,0.82469,0.79143,0.83906,0.48871,1.35321,0.81872,1.51776,0.0298823,0.00996077,0.0298823,0.00996077,0.0298823,0.00996077,0.0298823,0.00996077
10,1270.49,1.31192,1.04088,1.55265,0.84371,0.79476,0.8533,0.50306,1.32448,0.81666,1.49501,0.0298511,0.00995037,0.0298511,0.00995037,0.0298511,0.00995037,0.0298511,0.00995037
11,1387.71,1.30159,1.04178,1.54094,0.87218,0.79516,0.86476,0.51498,1.3359,0.76217,1.49189,0.0298162,0.00993875,0.0298162,0.00993875,0.0298162,0.00993875,0.0298162,0.00993875
12,1506.54,1.28119,1.00833,1.52411,0.8394,0.81981,0.86916,0.50172,1.33531,0.76087,1.4863,0.0297778,0.00992592,0.0297778,0.00992592,0.0297778,0.00992592,0.0297778,0.00992592
13,1624.38,1.26731,0.99152,1.5173,0.82248,0.83353,0.86935,0.5227,1.29301,0.73099,1.45613,0.0297356,0.00991188,0.0297356,0.00991188,0.0297356,0.00991188,0.0297356,0.00991188
14,1742.23,1.25784,0.98564,1.50581,0.84878,0.82363,0.87082,0.53019,1.27702,0.7296,1.44762,0.0296899,0.00989663,0.0296899,0.00989663,0.0296899,0.00989663,0.0296899,0.00989663
15,1857.81,1.2461,0.96622,1.49999,0.84144,0.83701,0.86969,0.54702,1.21376,0.72254,1.39112,0.0296406,0.00988019,0.0296406,0.00988019,0.0296406,0.00988019,0.0296406,0.00988019
16,1975.46,1.23831,0.95822,1.49537,0.86103,0.82724,0.86922,0.53815,1.27754,0.70387,1.42835,0.0295876,0.00986254,0.0295876,0.00986254,0.0295876,0.00986254,0.0295876,0.00986254
17,2092.23,1.21586,0.93126,1.4803,0.86478,0.82292,0.88407,0.55853,1.24245,0.69617,1.41832,0.0295311,0.0098437,0.0295311,0.0098437,0.0295311,0.0098437,0.0295311,0.0098437
18,2209.6,1.21767,0.9315,1.473,0.81795,0.81385,0.86472,0.53086,1.3039,0.7251,1.46021,0.029471,0.00982367,0.029471,0.00982367,0.029471,0.00982367,0.029471,0.00982367
19,2326.64,1.195,0.91711,1.45954,0.8714,0.84843,0.89123,0.55692,1.24317,0.68556,1.41265,0.0294074,0.00980246,0.0294074,0.00980246,0.0294074,0.00980246,0.0294074,0.00980246
20,2443.7,1.19412,0.88678,1.45404,0.85922,0.83059,0.89103,0.56475,1.23723,0.67366,1.39885,0.0293402,0.00978007,0.0293402,0.00978007,0.0293402,0.00978007,0.0293402,0.00978007
21,2559.58,1.19274,0.89442,1.45646,0.86591,0.85813,0.89371,0.54646,1.28069,0.68471,1.43051,0.0292695,0.00975651,0.0292695,0.00975651,0.0292695,0.00975651,0.0292695,0.00975651
22,2677.2,1.18431,0.8891,1.44908,0.83744,0.86424,0.89479,0.5604,1.2542,0.67919,1.42636,0.0291953,0.00973177,0.0291953,0.00973177,0.0291953,0.00973177,0.0291953,0.00973177
23,2793.78,1.17758,0.87725,1.44172,0.87948,0.83164,0.8938,0.57302,1.19832,0.66059,1.37986,0.0291176,0.00970588,0.0291176,0.00970588,0.0291176,0.00970588,0.0291176,0.00970588
24,2911.17,1.16972,0.8598,1.43955,0.88872,0.84368,0.8982,0.57389,1.20458,0.65136,1.39159,0.0290365,0.00967883,0.0290365,0.00967883,0.0290365,0.00967883,0.0290365,0.00967883
25,3028.03,1.15159,0.85483,1.42833,0.83966,0.85889,0.89445,0.58204,1.17045,0.65257,1.35256,0.0289519,0.00965064,0.0289519,0.00965064,0.0289519,0.00965064,0.0289519,0.00965064
26,3145.12,1.16262,0.8558,1.43294,0.88137,0.82036,0.88981,0.56038,1.24911,0.65764,1.39606,0.0288639,0.0096213,0.0288639,0.0096213,0.0288639,0.0096213,0.0288639,0.0096213
27,3262.88,1.15102,0.86384,1.42766,0.85639,0.84264,0.88774,0.58205,1.16681,0.63583,1.34128,0.0287725,0.00959083,0.0287725,0.00959083,0.0287725,0.00959083,0.0287725,0.00959083
28,3380.8,1.14842,0.84609,1.41932,0.85181,0.84769,0.89018,0.58165,1.1672,0.64025,1.33843,0.0286777,0.00955923,0.0286777,0.00955923,0.0286777,0.00955923,0.0286777,0.00955923
29,3498.05,1.13922,0.83286,1.41016,0.88422,0.85866,0.90763,0.5783,1.19044,0.6363,1.36175,0.0285795,0.00952651,0.0285795,0.00952651,0.0285795,0.00952651,0.0285795,0.00952651
30,3615.26,1.14192,0.83203,1.40551,0.85492,0.87105,0.90491,0.59411,1.15119,0.61831,1.33039,0.0284781,0.00949269,0.0284781,0.00949269,0.0284781,0.00949269,0.0284781,0.00949269
31,3731.94,1.12856,0.81595,1.39855,0.87295,0.85576,0.90401,0.58258,1.18641,0.61512,1.35927,0.0283733,0.00945776,0.0283733,0.00945776,0.0283733,0.00945776,0.0283733,0.00945776
32,3849.15,1.12217,0.83483,1.40254,0.88864,0.84222,0.89407,0.58298,1.17327,0.62015,1.34262,0.0282652,0.00942173,0.0282652,0.00942173,0.0282652,0.00942173,0.0282652,0.00942173
33,3966.17,1.11804,0.81597,1.39781,0.86729,0.85485,0.90326,0.58762,1.15646,0.61806,1.35196,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463
34,4082.29,1.11847,0.80686,1.40376,0.85224,0.83891,0.89303,0.57859,1.1766,0.60952,1.35221,0.0280393,0.00934644,0.0280393,0.00934644,0.0280393,0.00934644,0.0280393,0.00934644
35,4199.42,1.11209,0.79687,1.39194,0.87824,0.83866,0.90917,0.59616,1.16465,0.60571,1.34443,0.0279216,0.00930719,0.0279216,0.00930719,0.0279216,0.00930719,0.0279216,0.00930719
36,4317.29,1.10346,0.79607,1.38536,0.84257,0.85102,0.88863,0.58913,1.14664,0.61399,1.33749,0.0278007,0.00926688,0.0278007,0.00926688,0.0278007,0.00926688,0.0278007,0.00926688
37,4434.57,1.11039,0.79304,1.39555,0.8416,0.85315,0.90088,0.60279,1.13813,0.61742,1.32181,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553
38,4552.21,1.10252,0.79231,1.38987,0.84849,0.84311,0.88912,0.60208,1.12494,0.61808,1.31407,0.0275494,0.00918314,0.0275494,0.00918314,0.0275494,0.00918314,0.0275494,0.00918314
39,4668.31,1.08606,0.77868,1.37618,0.8758,0.86832,0.89656,0.59056,1.13744,0.59917,1.31597,0.0274192,0.00913973,0.0274192,0.00913973,0.0274192,0.00913973,0.0274192,0.00913973
40,4784.49,1.08362,0.76504,1.37313,0.88824,0.85938,0.91163,0.60995,1.13372,0.59406,1.31642,0.0272859,0.00909529,0.0272859,0.00909529,0.0272859,0.00909529,0.0272859,0.00909529
