epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.295,1.3911,1.76965,1.55213,0.42813,0.41332,0.35791,0.1912,1.45371,2.41724,1.61241,0.00033289,0.00033289,0.00033289
2,239.492,1.34374,1.16418,1.50315,0.35665,0.41715,0.33452,0.21601,1.3977,2.25602,1.58737,0.000659628,0.000659628,0.000659628
3,352.788,1.32237,1.12378,1.49379,0.43967,0.45731,0.43658,0.24622,1.4038,2.21837,1.56403,0.000979766,0.000979766,0.000979766
4,467.656,1.27937,1.03223,1.45377,0.47804,0.46897,0.41466,0.23129,1.39451,1.99114,1.57024,0.0009703,0.0009703,0.0009703
5,582.471,1.24774,0.98506,1.43233,0.43614,0.43072,0.41594,0.2156,1.43642,2.08441,1.61347,0.0009604,0.0009604,0.0009604
6,690.217,1.21195,0.9179,1.39573,0.53988,0.50045,0.48683,0.26582,1.43414,1.87894,1.61994,0.0009505,0.0009505,0.0009505
7,798.97,1.18736,0.90171,1.38971,0.45321,0.55319,0.47375,0.27863,1.33658,1.97568,1.53474,0.0009406,0.0009406,0.0009406
8,912.49,1.16338,0.86984,1.37424,0.50717,0.49566,0.47231,0.29718,1.27247,1.9112,1.53451,0.0009307,0.0009307,0.0009307
9,1022.67,1.13781,0.85284,1.35428,0.4348,0.5336,0.44714,0.24134,1.41604,2.09693,1.66449,0.0009208,0.0009208,0.0009208
10,1138.89,1.12199,0.8224,1.33891,0.50069,0.46245,0.4378,0.24088,1.37406,2.00516,1.58107,0.0009109,0.0009109,0.0009109
11,1248.42,1.11387,0.80571,1.33289,0.42555,0.51449,0.4421,0.25431,1.29049,1.92672,1.57682,0.000901,0.000901,0.000901
12,1361.39,1.09208,0.79845,1.32423,0.49574,0.44501,0.4563,0.25901,1.31173,1.97401,1.60546,0.0008911,0.0008911,0.0008911
13,1474.81,1.08786,0.77916,1.32186,0.48771,0.36284,0.40936,0.26109,1.25204,2.12653,1.4604,0.0008812,0.0008812,0.0008812
14,1582.71,1.07635,0.76849,1.30848,0.45009,0.59144,0.45339,0.28001,1.24653,2.10202,1.4733,0.0008713,0.0008713,0.0008713
15,1690.23,1.04347,0.74163,1.28852,0.4325,0.54039,0.44459,0.25832,1.348,2.14097,1.58058,0.0008614,0.0008614,0.0008614
