frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
1,0.033,Torchere A,Medium-Flare,0.6931,mauvaise,294,370,389,634,0.0,0.1,0.306,0.795
1,0.033,Torchere A,Dark-Flare,0.4327,mauvaise,292,371,391,635,0.0,0.096,0.301,0.794
1,0.033,Torchere A,Dark-Smoke,0.7217,mauvaise,218,0,720,644,0.0,0.008,0.238,0.772
2,0.067,Torchere A,Medium-Flare,0.5714,mauvaise,295,369,391,627,0.0,0.104,0.314,0.789
2,0.067,Torchere A,Dark-Flare,0.5510,mauvaise,293,369,392,628,0.0,0.1,0.309,0.789
2,0.067,Torchere A,Dark-Smoke,0.6691,mauvaise,214,0,720,643,0.0,0.008,0.237,0.771
3,0.100,Torchere A,Dark-Flare,0.7695,mauvaise,303,364,402,625,0.0,0.091,0.307,0.786
3,0.100,Torchere A,Medium-Flare,0.7477,mauvaise,307,363,400,623,0.0,0.098,0.32,0.786
3,0.100,Torchere A,Dark-Smoke,0.6908,mauvaise,185,0,720,647,0.0,0.007,0.254,0.77
4,0.133,Torchere A,Medium-Flare,0.7342,mauvaise,315,430,401,620,0.0,0.142,0.197,0.827
4,0.133,Torchere A,Dark-Smoke,0.8264,mauvaise,211,0,720,640,0.0,0.007,0.262,0.767
5,0.167,Torchere A,Medium-Flare,0.7129,mauvaise,309,358,401,616,0.0,0.1,0.312,0.788
5,0.167,Torchere A,Light-Flare,0.4856,mauvaise,304,353,410,619,0.0,0.084,0.321,0.78
5,0.167,Torchere A,Dark-Smoke,0.8355,mauvaise,269,1,720,629,0.0,0.008,0.259,0.762
6,0.200,Torchere A,Medium-Flare,0.6416,mauvaise,298,354,388,618,0.0,0.104,0.301,0.788
6,0.200,Torchere A,Dark-Smoke,0.8111,mauvaise,209,0,720,637,0.0,0.008,0.249,0.767
7,0.233,Torchere A,Medium-Flare,0.4934,mauvaise,306,368,395,622,0.0,0.099,0.309,0.788
7,0.233,Torchere A,Dark-Smoke,0.7523,mauvaise,201,0,718,641,0.0,0.007,0.254,0.767
8,0.267,Torchere A,Medium-Flare,0.8593,mauvaise,298,418,383,620,0.0,0.133,0.197,0.825
8,0.267,Torchere A,Dark-Smoke,0.8587,mauvaise,250,0,711,635,0.0,0.008,0.254,0.763
