frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
1,0.033,Torchere A,Medium-Flare,0.7270,moyenne,161,424,323,531,0.076,0.288,0.394,0.665
2,0.067,Torchere A,Medium-Flare,0.7300,moyenne,163,427,323,529,0.077,0.294,0.379,0.667
3,0.100,Torchere A,Medium-Flare,0.7465,moyenne,160,430,323,531,0.082,0.281,0.407,0.659
4,0.133,Torchere A,Medium-Flare,0.4132,moyenne,140,432,326,536,0.076,0.23,0.502,0.648
5,0.167,Torchere A,Medium-Flare,0.5096,moyenne,140,431,325,535,0.076,0.233,0.51,0.644
6,0.200,Torchere A,Medium-Flare,0.6664,moyenne,151,431,323,535,0.081,0.249,0.502,0.643
7,0.234,Torchere A,Medium-Flare,0.8342,moyenne,154,431,317,532,0.078,0.254,0.441,0.653
8,0.267,Torchere A,Medium-Flare,0.8020,moyenne,142,430,317,531,0.071,0.243,0.437,0.65
9,0.300,Torchere A,Medium-Flare,0.7640,moyenne,131,428,321,526,0.064,0.229,0.435,0.648
10,0.334,Torchere A,Medium-Flare,0.6433,moyenne,121,427,321,528,0.061,0.211,0.46,0.646
11,0.367,Torchere A,Medium-Flare,0.4456,moyenne,107,428,322,527,0.057,0.204,0.469,0.646
13,0.434,Torchere A,Medium-Flare,0.4867,moyenne,107,423,322,520,0.053,0.205,0.444,0.648
15,0.501,Torchere A,Medium-Flare,0.4741,moyenne,176,419,317,519,0.073,0.339,0.35,0.68
18,0.601,Torchere A,Dark-Flare,0.4497,mauvaise,172,421,301,522,0.059,0.373,0.316,0.709
20,0.667,Torchere A,Medium-Flare,0.6788,moyenne,164,431,311,523,0.079,0.321,0.363,0.676
21,0.701,Torchere A,Medium-Flare,0.7950,moyenne,157,433,310,523,0.075,0.331,0.35,0.679
22,0.734,Torchere A,Medium-Flare,0.7993,moyenne,152,429,319,526,0.07,0.293,0.397,0.664
23,0.767,Torchere A,Medium-Flare,0.7541,moyenne,146,432,317,526,0.071,0.29,0.394,0.662
24,0.801,Torchere A,Medium-Flare,0.7385,moyenne,142,437,315,524,0.072,0.305,0.359,0.664
25,0.834,Torchere A,Medium-Flare,0.6594,moyenne,137,435,314,522,0.069,0.314,0.343,0.665
26,0.868,Torchere A,Medium-Flare,0.5602,mauvaise,128,435,309,527,0.065,0.271,0.369,0.665
26,0.868,Torchere A,Dark-Flare,0.4384,mauvaise,128,435,310,527,0.065,0.27,0.372,0.664
27,0.901,Torchere A,Dark-Flare,0.6529,mauvaise,123,442,311,531,0.071,0.266,0.398,0.656
28,0.934,Torchere A,Medium-Flare,0.5955,moyenne,122,443,310,530,0.07,0.258,0.394,0.654
29,0.968,Torchere A,Dark-Flare,0.7734,mauvaise,120,440,305,536,0.065,0.222,0.417,0.65
29,0.968,Torchere A,Medium-Flare,0.4756,mauvaise,118,442,307,534,0.067,0.227,0.418,0.648
30,1.001,Torchere A,Medium-Flare,0.5600,mauvaise,111,437,305,534,0.061,0.204,0.424,0.645
30,1.001,Torchere A,Dark-Flare,0.4605,mauvaise,111,438,304,534,0.061,0.207,0.424,0.647
31,1.034,Torchere A,Medium-Flare,0.6739,moyenne,104,436,302,545,0.06,0.183,0.474,0.646
32,1.068,Torchere A,Medium-Flare,0.6187,moyenne,92,431,298,544,0.048,0.18,0.483,0.653
33,1.101,Torchere A,Medium-Flare,0.6340,moyenne,114,439,303,556,0.073,0.208,0.474,0.653
34,1.134,Torchere A,Dark-Flare,0.5857,mauvaise,118,435,296,551,0.057,0.236,0.409,0.675
35,1.168,Torchere A,Medium-Flare,0.5937,moyenne,117,438,296,560,0.063,0.229,0.423,0.668
36,1.201,Torchere A,Medium-Flare,0.6649,mauvaise,108,439,294,556,0.055,0.242,0.443,0.672
36,1.201,Torchere A,Dark-Flare,0.4389,mauvaise,108,439,292,559,0.05,0.238,0.44,0.674
37,1.235,Torchere A,Medium-Flare,0.6564,moyenne,102,437,293,540,0.043,0.283,0.372,0.684
38,1.268,Torchere A,Medium-Flare,0.7150,moyenne,93,435,294,539,0.042,0.293,0.366,0.682
39,1.301,Torchere A,Medium-Flare,0.6071,moyenne,84,437,301,541,0.052,0.268,0.382,0.665
40,1.335,Torchere A,Dark-Flare,0.4951,mauvaise,100,439,305,541,0.062,0.28,0.371,0.658
41,1.368,Torchere A,Dark-Flare,0.5435,mauvaise,75,448,304,545,0.062,0.265,0.429,0.65
42,1.401,Torchere A,Dark-Flare,0.6630,mauvaise,98,445,304,544,0.066,0.292,0.383,0.654
43,1.435,Torchere A,Medium-Flare,0.5338,mauvaise,102,448,311,544,0.073,0.291,0.351,0.65
43,1.435,Torchere A,Dark-Flare,0.4595,mauvaise,102,447,311,545,0.073,0.285,0.355,0.649
44,1.468,Torchere A,Dark-Flare,0.6528,mauvaise,98,451,301,544,0.068,0.309,0.32,0.664
45,1.502,Torchere A,Dark-Flare,0.5018,mauvaise,90,444,309,544,0.065,0.227,0.351,0.644
46,1.535,Torchere A,Medium-Flare,0.7256,moyenne,85,443,316,544,0.062,0.194,0.397,0.635
47,1.568,Torchere A,Medium-Flare,0.7688,moyenne,75,437,316,552,0.064,0.141,0.464,0.629
48,1.602,Torchere A,Medium-Flare,0.6017,moyenne,64,431,317,557,0.061,0.133,0.488,0.628
49,1.635,Torchere A,Light-Smoke,0.7645,bonne,56,420,315,561,0.057,0.119,0.479,0.627
51,1.702,Torchere A,Medium-Flare,0.4077,moyenne,35,420,317,548,0.043,0.131,0.494,0.633
53,1.768,Torchere A,Medium-Flare,0.5517,moyenne,18,444,317,544,0.047,0.12,0.531,0.632
54,1.802,Torchere A,Medium-Flare,0.7512,moyenne,138,452,311,543,0.087,0.221,0.371,0.655
55,1.835,Torchere A,Medium-Flare,0.7324,moyenne,118,452,314,549,0.081,0.175,0.472,0.646
56,1.869,Torchere A,Medium-Flare,0.6392,moyenne,119,450,314,544,0.075,0.18,0.466,0.647
